+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                         ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_instruction_master_agent                                                                                                                                        ; 164   ; 37             ; 70           ; 37             ; 131    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_data_master_agent                                                                                                                                               ; 164   ; 37             ; 70           ; 37             ; 131    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|timer_0_s1_translator                                                                                                                                                        ; 84    ; 22             ; 33           ; 22             ; 55     ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|onchip_memory2_0_s1_translator                                                                                                                                               ; 100   ; 7              ; 4            ; 7              ; 86     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_translator                                                                                                                                      ; 100   ; 5              ; 8            ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|sysid_qsys_0_control_slave_translator                                                                                                                                        ; 100   ; 6              ; 16           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                                                                                                                     ; 100   ; 5              ; 19           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_instruction_master_translator                                                                                                                                   ; 101   ; 51             ; 2            ; 51             ; 94     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0|nios2_gen2_0_data_master_translator                                                                                                                                          ; 101   ; 12             ; 2            ; 12             ; 94     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|mm_interconnect_0                                                                                                                                                                              ; 223   ; 0              ; 0            ; 0              ; 226    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|timer_0                                                                                                                                                                                        ; 23    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|sysid_qsys_0                                                                                                                                                                                   ; 3     ; 17             ; 2            ; 17             ; 32     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                                                 ; 52    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|onchip_memory2_0                                                                                                                                                                               ; 56    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_debug_slave_wrapper|the_unsaved_Nios2_B_nios2_gen2_0_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_debug_slave_wrapper|the_unsaved_Nios2_B_nios2_gen2_0_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_debug_slave_wrapper                                                                       ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_ocimem|unsaved_Nios2_B_nios2_gen2_0_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_ocimem|unsaved_Nios2_B_nios2_gen2_0_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_ocimem                                                                              ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_avalon_reg                                                                          ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_im                                                                              ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_pib                                                                             ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_fifo|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_fifo|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_fifo|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_fifo                                                                            ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_dtrace|unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_dtrace                                                                          ; 102   ; 0              ; 91           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; NiosII|nios2_b|nios2_gen2_0|cpu|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci|the_unsaved_Nios2_B_nios2_gen2_0_cpu_nios2_oci_itrace                                                                          ; 93    ; 53             ; 93           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
